Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC,Stock,Price,Process,Minimum Qty,Attrition Qty,Class,Category,Manufacturer,Part,Switch Length,Voltage Rating (Dc),With Lamp,Operating Force,Actuator/Cap Color,Mechanical Life,Strike Gundam,Circuit,Switch Height,Actuator Style,Switch Width,Contact Current,Operating Temperature,Mounting Style
"12V, 15V, 18V, 2A, 9V",5,,SOLDERJUMPER_ARROW_NOPASTE,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
"1A, 5V",2,,SOLDERJUMPER_CLOSEDWIRE,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
"Burn1, Burn2",2,Tactile_Button,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,,,,smt,None Without 50mA 5.1mm 100000 Times 160gf 12V 5.1mm 1.5mm Round Button Standing paste SPST SMD Tactile Switches ROHS,C318884,433660,0.025USD,SMT,10,5,Basic Component,"Switches,Tactile Switches",XKB Connectivity,TS-1187A-B-A-B,5.1mm,12V,No,160gf,Golden,100000 Times,NO,SPST,1.5mm,Round Button,5.1mm,50mA,-30°C~+85°C,Brick nogging
C1,1,1uF/50V,0805-NO,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
"C2, C3, C4",3,4.7uF,0805-NO,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
"D1, D6",2,LED_RED_IN1,LED_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,,,,,,,,,,
D2,1,LED_RED_IN2,LED_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,,,,,,,,,,
J1,1,Conn_01x06_MountingPin,Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal,,,,smt,"Generic connectable mounting pin connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,,,,,,,,,,,,,
PLABEL0,1,,PLABEL0,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL10,1,,PLABEL10,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL11,1,,PLABEL11,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL14,1,,PLABEL14,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL16,1,,PLABEL16,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL17,1,,PLABEL17,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL18,1,,PLABEL18,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL3,1,,PLABEL3,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL4,1,,PLABEL4,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL5,1,,PLABEL5,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL6,1,,PLABEL6,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL7,1,,PLABEL7,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL8,1,,PLABEL8,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
PLABEL9,1,,PLABEL9,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,1,AONR21307,POWERDI3333,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1,4.7,AxialBurnResistor,,,,tht,Resistor,,,,,,,,,,,,,,,,,,,,,,,,
R10,1,18K,0603-NO,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
R15,1,750,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,,,smt,,,,,,,,,,,,,,,,,,,,,,,,,
"R16, R17",2,510,0603-NO,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
R2,1,4.7,AxialBurnResistor_No_Cutout,,,Yes,tht,Resistor,,,,,,,,,,,,,,,,,,,,,,,,
"R3, R4, R5, R6",4,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,,,smt,Resistor,,,,,,,,,,,,,,,,,,,,,,,,
R3,1,10 ohm,0603-NO,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
R4,1,5.1K,0603-NO,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
R5,1,49.9K,0603-NO,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
R7,1,6K,0603-NO,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
"R8, R9",2,14K,0603-NO,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
R8,1,10K,0603-NO,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
U1,1,NCV8402ADDR2G,SOIC8_ONS,,,,smt,,,,,,,,,,,,,,,,,,,,,,,,,
X1,1,USB Type C,USB_C_CUSB31-CFM2AX-01-X,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
X3,1,HUSB238,DFN10_3X3MM,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,
p,1,Molex_Pico-Lock_504050-0691_1x06-1MP_P1.50mm_Horizontal,Molex_Pico-Lock_504050-0691_1x06-1MP_P1.50mm_Horizontal,,,,smt,,,,,,,,,,,,,,,,,,,,,,,,,
